model,num_threads,sgx,max_depth,n_estimators,columns,train_rows,train_time,test_rows,test_time,acc,f1
rf,1,1,None,1,28,7699999,107321401000,3300001,1306560000,0.8204355089589367,0.8204068142670894
rf,1,1,None,1,28,7699999,109259799000,3300001,1275666000,0.8204355089589367,0.8204068142670894
rf,1,1,None,1,28,7699999,109282486000,3300001,1277432000,0.8204355089589367,0.8204068142670894
rf,1,1,None,1,28,7699999,109267335000,3300001,1276329000,0.8204355089589367,0.8204068142670894
rf,1,1,None,1,28,7699999,109269439000,3300001,1278599000,0.8204355089589367,0.8204068142670894
rf,1,0,None,1,28,7699999,35912038627,3300001,1249371080,0.8204355089589367,0.8204068142670894
rf,1,0,None,1,28,7699999,35903329276,3300001,1250425847,0.8204355089589367,0.8204068142670894
rf,1,0,None,1,28,7699999,35822596173,3300001,1251050561,0.8204355089589367,0.8204068142670894
rf,1,0,None,1,28,7699999,35851667531,3300001,1251374177,0.8204355089589367,0.8204068142670894
rf,1,0,None,1,28,7699999,35870891796,3300001,1251868888,0.8204355089589367,0.8204068142670894
rf,1,1,None,1,28,8800000,126905808000,2200000,869182000,0.8370304545454545,0.8370044779920286
rf,1,1,None,1,28,8800000,126851122000,2200000,862084000,0.8370304545454545,0.8370044779920286
rf,1,1,None,1,28,8800000,125878577000,2200000,861078000,0.8370304545454545,0.8370044779920286
rf,1,1,None,1,28,8800000,125884515000,2200000,861362000,0.8370304545454545,0.8370044779920286
rf,1,1,None,1,28,8800000,125857926000,2200000,861955000,0.8370304545454545,0.8370044779920286
rf,1,0,None,1,28,8800000,41420270085,2200000,846600083,0.8370304545454545,0.8370044779920286
rf,1,0,None,1,28,8800000,41396249520,2200000,848488916,0.8370304545454545,0.8370044779920286
rf,1,0,None,1,28,8800000,41311537990,2200000,846382394,0.8370304545454545,0.8370044779920286
rf,1,0,None,1,28,8800000,41380906960,2200000,846739352,0.8370304545454545,0.8370044779920286
rf,1,0,None,1,28,8800000,41354564623,2200000,846252744,0.8370304545454545,0.8370044779920286
rf,1,1,None,1,28,9900000,146276259000,1100000,475317000,0.8512836363636364,0.8512601613002325
rf,1,1,None,1,28,9900000,149145325000,1100000,449270000,0.8512836363636364,0.8512601613002325
rf,1,1,None,1,28,9900000,148891812000,1100000,447317000,0.8512836363636364,0.8512601613002325
rf,1,1,None,1,28,9900000,148838816000,1100000,449097000,0.8512836363636364,0.8512601613002325
rf,1,1,None,1,28,9900000,148825557000,1100000,447901000,0.8512836363636364,0.8512601613002325
rf,1,0,None,1,28,9900000,46645463375,1100000,440394575,0.8512836363636364,0.8512601613002325
rf,1,0,None,1,28,9900000,46664294391,1100000,439918325,0.8512836363636364,0.8512601613002325
rf,1,0,None,1,28,9900000,46715748471,1100000,438269941,0.8512836363636364,0.8512601613002325
rf,1,0,None,1,28,9900000,46635734386,1100000,438452507,0.8512836363636364,0.8512601613002325
rf,1,0,None,1,28,9900000,46526977656,1100000,441380109,0.8512836363636364,0.8512601613002325
